type,size,doc,inputSplit,reducer,time,memory,data
hadoop,1MB,10doc,10,5,28955,3431706624,2025-05-23 13:07:20
hadoop,512MB,10doc,10,5,114877,3703693312,2025-05-23 13:09:22
hadoop,1GB,10doc,14,5,180019,4872552448,2025-05-23 13:12:30
hadoop,2GB,10doc,21,5,222172,6998605824,2025-05-23 13:16:21
hadoop,512KB,10doc,10,5,29671,3543379968,2025-05-23 13:16:57
hadoop,1MB,10doc,10,5,32481,3456372736,2025-05-23 13:17:36
hadoop,512MB,10doc,10,5,116905,3712307200,2025-05-23 13:19:39
hadoop,1GB,10doc,14,5,197075,4988198912,2025-05-23 13:23:03
hadoop,2GB,10doc,21,5,212578,6995738624,2025-05-23 13:26:43
hadoop,512KB,10doc,10,15,42190,5044781056,2025-05-23 13:27:32
hadoop,1MB,10doc,10,15,41845,5159346176,2025-05-23 13:28:21
hadoop,512MB,10doc,10,15,110136,5402591232,2025-05-23 13:30:17
hadoop,1GB,10doc,14,15,221232,6578249728,2025-05-23 13:34:06
hadoop,2GB,10doc,21,15,250610,8643600384,2025-05-23 13:38:23
hadoop,512KB,10doc,10,15,44582,4940865536,2025-05-23 13:39:15
hadoop,1MB,10doc,10,15,40967,5196955648,2025-05-23 13:40:03
hadoop,512MB,10doc,10,15,153888,5355098112,2025-05-23 13:42:44
hadoop,1GB,10doc,14,15,159233,6532206592,2025-05-23 13:45:31
hadoop,2GB,10doc,21,15,231237,8649998336,2025-05-23 13:49:29
hadoop,512KB,10doc,10,15,42870,5163593728,2025-05-23 13:50:19
hadoop,1MB,10doc,10,15,41318,5121236992,2025-05-23 13:51:07
hadoop,512MB,10doc,10,15,138898,5410656256,2025-05-23 13:53:33
hadoop,1GB,10doc,14,15,222460,6570708992,2025-05-23 13:57:23
hadoop,2GB,10doc,21,15,236266,8664895488,2025-05-23 14:01:27
hadoop,512KB,20doc,20,1,30358,5521620992,2025-05-23 14:02:05
hadoop,1MB,20doc,20,1,31262,5408374784,2025-05-23 14:02:46
hadoop,512MB,20doc,20,1,109712,5883097088,2025-05-23 14:04:47
hadoop,1GB,20doc,20,1,157049,5900242944,2025-05-23 14:07:32
hadoop,2GB,20doc,25,1,240131,7375155200,2025-05-23 14:11:39
hadoop,512KB,20doc,20,1,33790,5454749696,2025-05-23 14:12:20
hadoop,1MB,20doc,20,1,31770,5398372352,2025-05-23 14:12:59
hadoop,512MB,20doc,20,1,106523,5852463104,2025-05-23 14:14:53
hadoop,1GB,20doc,20,1,175897,5866708992,2025-05-23 14:17:56
hadoop,2GB,20doc,25,1,231714,7355944960,2025-05-23 14:21:55
hadoop,512KB,20doc,20,1,31340,5470351360,2025-05-23 14:22:33
hadoop,1MB,20doc,20,1,32003,5354131456,2025-05-23 14:23:12
hadoop,512MB,20doc,20,1,93005,5822668800,2025-05-23 14:24:52
hadoop,1GB,20doc,20,1,166067,5910007808,2025-05-23 14:27:45
hadoop,2GB,20doc,25,1,220794,7352320000,2025-05-23 14:31:33
hadoop,512KB,20doc,20,5,38439,6016331776,2025-05-23 14:32:19
hadoop,1MB,20doc,20,5,35939,6068633600,2025-05-23 14:33:01
hadoop,512MB,20doc,20,5,97455,6479876096,2025-05-23 14:34:46
hadoop,1GB,20doc,20,5,155158,6533197824,2025-05-23 14:37:28
hadoop,2GB,20doc,25,5,261147,8205131776,2025-05-23 14:41:56
hadoop,512KB,20doc,20,5,38289,6011031552,2025-05-23 14:42:41
hadoop,1MB,20doc,20,5,38866,5984034816,2025-05-23 14:43:27
hadoop,512MB,20doc,20,5,103259,6428200960,2025-05-23 14:45:17
hadoop,1GB,20doc,20,5,134224,6569025536,2025-05-23 14:47:38
hadoop,2GB,20doc,25,5,242819,8181698560,2025-05-23 14:51:48
hadoop,512KB,20doc,20,5,35387,6069276672,2025-05-23 14:52:30
hadoop,1MB,20doc,20,5,37697,6101061632,2025-05-23 14:53:14
