type,size,doc,input_partitions,real_partition,time,date
spark,512MB,10doc,5,5,162079,2025-05-25 04:37:04
spark,1GB,10doc,5,5,292312,2025-05-25 04:42:11
spark,2GB,10doc,5,5,522999,2025-05-25 04:51:20
spark,512KB,10doc,5,5,32948,2025-05-25 04:52:13
spark,1MB,10doc,5,5,33694,2025-05-25 04:53:04
spark,512MB,10doc,5,5,250990,2025-05-25 04:57:33
spark,1GB,10doc,5,5,298270,2025-05-25 05:02:51
spark,2GB,10doc,5,5,696107,2025-05-25 05:14:53
spark,512KB,10doc,5,5,32470,2025-05-25 05:15:53
spark,1MB,10doc,5,5,32749,2025-05-25 05:16:40
spark,512MB,10doc,5,5,165788,2025-05-25 05:19:42
spark,1GB,10doc,5,5,291860,2025-05-25 05:24:48
spark,2GB,10doc,5,5,661269,2025-05-25 05:36:17
spark,512KB,10doc,15,15,39211,2025-05-25 05:37:24
spark,1MB,10doc,15,15,36882,2025-05-25 05:38:20
spark,512MB,10doc,15,15,156933,2025-05-25 05:41:14
spark,1GB,10doc,15,15,376380,2025-05-25 05:47:54
spark,2GB,10doc,15,15,487836,2025-05-25 05:56:22
spark,512KB,10doc,15,15,37334,2025-05-25 05:57:17
spark,1MB,10doc,15,15,36522,2025-05-25 05:58:09
spark,512MB,10doc,15,15,153906,2025-05-25 06:00:58
spark,1GB,10doc,15,15,394725,2025-05-25 06:07:48
spark,2GB,10doc,15,15,479329,2025-05-25 06:16:15
spark,512KB,10doc,15,15,36041,2025-05-25 06:17:08
spark,1MB,10doc,15,15,35154,2025-05-25 06:17:59
spark,512MB,10doc,15,15,152916,2025-05-25 06:20:46
spark,1GB,10doc,15,15,263579,2025-05-25 06:25:24
spark,2GB,10doc,15,15,577160,2025-05-25 06:35:20
spark,512KB,10doc,15,15,34167,2025-05-25 06:36:25
spark,1MB,10doc,15,15,36777,2025-05-25 06:37:21
spark,512MB,10doc,15,15,153428,2025-05-25 06:40:08
spark,1GB,10doc,15,15,264024,2025-05-25 06:44:51
spark,2GB,10doc,15,15,482788,2025-05-25 06:53:15
spark,512KB,20doc,-1,2,29589,2025-05-25 06:54:03
spark,1MB,20doc,-1,2,30795,2025-05-25 06:54:51
spark,512MB,20doc,-1,6,156152,2025-05-25 06:57:42
